hsa-mir-10a	hsa-mir-1224	hsa-mir-1258	hsa-mir-1305	hsa-mir-133b	hsa-mir-135b	hsa-mir-136	hsa-mir-137	hsa-mir-143	hsa-mir-184	hsa-mir-187	hsa-mir-203b	hsa-mir-204	hsa-mir-221	hsa-mir-222	hsa-mir-23c	hsa-mir-27b	hsa-mir-296	hsa-mir-3154	hsa-mir-323a	hsa-mir-323b	hsa-mir-326	hsa-mir-3622a	hsa-mir-378c	hsa-mir-378d-1	hsa-mir-378d-2	hsa-mir-450b	hsa-mir-4770	hsa-mir-4786	hsa-mir-486-1	hsa-mir-486-2	hsa-mir-488	hsa-mir-490	hsa-mir-496	hsa-mir-508	hsa-mir-509-3	hsa-mir-541	hsa-mir-551b	hsa-mir-552	hsa-mir-585	hsa-mir-6499	hsa-mir-6510	hsa-mir-6718	hsa-mir-675	hsa-mir-6761	hsa-mir-6843	hsa-mir-760	hsa-mir-7702	hsa-mir-873	hsa-mir-876	hsa-mir-888	hsa-mir-889	hsa-mir-891a	hsa-mir-892a
ENSG00000003249.15	-0.177730273445718	-0.0699573710892101	-0.262208861805953	-0.0561362235539288	-0.36236476796135	-0.18165937390786	-0.113122680399366	-0.133919851730898	-0.42052680077793	-0.264493448639466	-0.28571534825561	-0.337372705061642	-0.301670422362465	-0.4338464865814	-0.409451125895692	-0.371106499660707	-0.415509897047777	-0.117454327262581	-0.140353723538682	-0.082528150068321	-0.0730643070120972	-0.215457749989268	-0.191181521144559	-0.406921491045869	-0.239719844759078	-0.288443870354766	-0.0754170404679595	-0.262588436420497	-0.288780881686443	-0.0928864766294072	-0.106548736141461	-0.168986343570211	-0.198963311470751	-0.284889707755843	-0.291650709214295	-0.198493798335267	-0.126594157976511	-0.0786088685714719	-0.182550102843132	-0.173750657815526	-0.277692407541579	-0.407455533639335	-0.222775124808855	-0.0641137415462265	-0.262435987237909	-0.261384819719187	-0.223913140762809	-0.03604251986332	-0.255900139381076	-0.167480481567244	-0.124692544991399	-0.278075567034959	-0.293163720563312	-0.247825347002035
ENSG00000004809.14	0.117493863969555	0.0332991864724435	-0.101222873934083	-0.149990701018955	-0.138145542079171	0.022172157116896	-0.190718797518274	0.103075001072232	0.0229673490213174	-0.207228302684452	-0.228560978096025	-0.0145302556142963	-0.115130927165353	-0.183841252704145	-0.168191846477346	-0.0708285772241735	-0.118170905673468	-0.149807515739288	-0.0587641063735758	-0.0611381532209681	-0.0908585911989458	-0.0734925855912628	-0.0956194255560468	-0.0266402492170952	-0.13280482349819	-0.13785976459854	-0.234523264495311	-0.021176934745909	-0.0266216872179782	-0.157043265313249	-0.147315567449352	-0.133032097765542	-0.19751541723014	-0.115961848508139	-0.039011867745328	-0.0323790274796025	-0.0166465750092384	-0.143121375013442	-0.0875757883898755	-0.011475831302321	-0.0204546381773041	0.0525456100121362	0.0116149775164263	-0.245306383940822	-0.0931453660853509	-0.05647814250006	-0.108107069537871	-0.0126802391818753	-0.208561593642484	-0.189725715708848	-0.00855319865607843	-0.144330720730139	0.0647983782653762	-0.014906150657368
ENSG00000004838.14	-0.0583412942708886	0.0248002251060734	-0.268640318253792	-0.0131889517968887	-0.398165910690489	-0.01600069009549	-0.117139936838975	-0.0504013828629126	-0.441766370710108	-0.219953028535789	-0.207508767459107	-0.186308693769013	-0.256284947823137	-0.37128733555751	-0.343343296263475	-0.311926045562629	-0.364397214288022	-0.134945674751907	-0.130956337294758	-0.0332047568950462	-0.0622733167862006	-0.277896283651149	-0.175329056577277	-0.36853055785919	-0.259845383825691	-0.231013857211925	-0.0474478441008158	-0.266217636253582	-0.249016996454839	-0.0550882295013423	-0.0617518641938066	-0.0803954697134068	-0.136357876943252	-0.187345553608463	-0.12914107991904	-0.101240566516936	-0.00114704107448123	0.0344982389964009	-0.121256960955091	-0.169961658474905	-0.21182960236545	-0.348467371685295	-0.131381712334501	-0.0866349753822686	-0.238325388975185	-0.167830503876077	-0.161113240606664	0.0159702918182158	-0.196207295231593	-0.122530554348403	-0.0721653555664974	-0.230200781881832	-0.246066678360143	-0.182727073505956
ENSG00000004848.8	0.0579874223375576	-0.00278444730263395	-0.119866946192793	-0.0727679753682799	-0.0898091598739521	0.0815079572457406	-0.146760468770372	0.00401892211481981	-0.0669458931840808	-0.167163138272156	-0.196031422699607	0.0866551244416706	-0.160747802438355	-0.131793905075138	-0.149339178330556	-0.0900577053641929	-0.101751763693251	-0.0886023098975643	-0.0704926281127875	-0.165771312618756	-0.181275154061874	-0.0514795819629925	-0.0348034333822059	-0.031821147635133	-0.04052655009303	-0.115722472716125	-0.113956955588502	-0.0341713342989423	-0.0522751433356442	0.00633520774202056	-0.0218453100941269	-0.11835110133856	-0.1710156059711	-0.0896179384189628	0.0277027277925111	0.0542698728977672	-0.0862084164820777	-0.0917536923415556	-0.115277525505153	-0.0588333891644425	-0.0188566217336452	0.125215656807548	-0.134245171085855	-0.280881873750854	-0.101655258353048	-0.0587222187794281	-0.098675651094358	0.0784814444781737	-0.174293472290684	-0.173154283114743	-0.0698529399574237	-0.178078839501946	0.0100572038385593	-0.0442303244541629
ENSG00000005421.9	0.00110138251790083	0.0136888031478447	0.0863315675659168	-0.000527518598364052	0.197258206853838	0.0650269501287777	-0.0158182599519626	-0.0162483996432943	0.110736645311729	0.167962569514773	0.116507554633958	0.217463698505558	0.170892407897723	0.230501490882943	0.260899648377006	0.114974649676164	0.0610761099112165	0.00131043553969868	0.148328751529732	-0.00705757208111116	-0.0634943602994037	0.0515887970535448	0.120121072068896	0.266273738611206	0.0949329688957267	0.116795813036773	0.0588631333818714	0.0756881647600846	0.0746506729167284	0.0483180886957471	0.0506775272182011	0.0068495436773456	0.0813133474439754	-0.0396145113815906	0.152978740815753	0.114913877478856	-0.0212002175102994	-0.0366801285815609	0.0523261174262661	-0.0294793006906089	0.122659598595096	0.233674087105151	-0.0212685410660624	0.0204666793917361	0.214276328722145	0.0240272164892714	0.0855363835164791	-0.00873900310557189	0.0711763303352074	0.0250368480864276	0.0856362375446732	-0.0195951267174873	0.201657707493591	0.0731226064394189
ENSG00000005513.10	-0.0155122158736465	0.0139108697808699	-0.20250332042763	-0.0701932229500608	-0.323596402932047	-0.0266378223239002	-0.143529487772095	0.0330720350541046	-0.295998340945718	-0.285149432457602	-0.264539862164148	-0.153883015016114	-0.240116606315213	-0.349006700312976	-0.327797829301894	-0.308309262780231	-0.271819476926844	-0.149262440974804	-0.0895805676517826	-0.0727526851018301	-0.22168436982019	-0.26808339945347	-0.207094784717569	-0.260811033410999	-0.174637273572871	-0.217728310752516	-0.146298515871233	-0.203174298427581	-0.211369804123245	-0.239843670301754	-0.218212160462459	-0.0829612005156092	-0.177549751743142	-0.230454308888856	-0.131388070684906	-0.094155406443027	-0.130927381481148	-0.0792357619480561	-0.135539214023047	-0.0473295936143775	-0.111347019859575	-0.216731908185988	-0.156118384463357	-0.094309548131493	-0.220413355302298	-0.134772818294256	-0.139648503478973	0.0555872589894603	-0.227498710137053	-0.120255928661922	-0.0810905487570581	-0.249558456907429	-0.168988641866212	-0.185117358423632
ENSG00000006118.15	0.000947728925172437	0.0573120892668961	-0.316536120723241	-0.0740167617806727	-0.463608504578881	-0.141060658180543	-0.209724018157719	0.0098383737006309	-0.337996944254187	-0.406048137946797	-0.374235203683512	-0.279015374934228	-0.319098002987785	-0.489773576862551	-0.459608933663132	-0.310293888490288	-0.362478495259934	-0.252839975808445	-0.199570983847763	-0.0658160689334307	-0.0828585276546936	-0.242459442517162	-0.255897491387605	-0.34052453737054	-0.258479963214165	-0.287484867656857	-0.155737814296612	-0.222399683854138	-0.222940703415919	-0.185042304352896	-0.204646154099688	-0.238060756735665	-0.206289966391775	-0.247765889431007	-0.27943197682904	-0.214367603733189	-0.102718887236708	-0.112856854543944	-0.12934839486501	-0.13151637592752	-0.233578823109686	-0.32383310620625	-0.167981233420272	-0.190588312639931	-0.276939496939158	-0.207236783999473	-0.162212401342113	0.0121251566799703	-0.371512919609404	-0.189642710110821	-0.0800234866194782	-0.249375648842844	-0.194953230283757	-0.149927517980627
ENSG00000006468.14	0.104961507125978	0.0775096597183523	0.170553855373104	-0.0144772002245099	0.237897478138138	0.148198155704431	0.0932587283923529	0.0885042331069281	0.358040860482737	0.1919000217938	0.178256880561443	0.1602339952296	0.161881973659159	0.233281757687509	0.212915903842229	0.285603464119876	0.337730643874504	0.138919956354825	0.100410633253487	0.144805432046762	0.188083512064693	0.191607698723359	0.127838328451885	0.193424130679109	0.142794037758186	0.170547076018597	-0.050425493609119	0.177116565479718	0.175113764934217	-0.0105962321121361	0.0141877142042741	0.102026447576544	0.0905124654090855	0.23054688126126	0.0857980179216498	0.077415197929595	0.198324225657747	0.0639062168663808	0.0778513862068589	0.125849542682639	0.114298580462551	0.154060417049504	0.210693311221284	0.111600507073684	0.186865823717187	0.084091457530601	0.155224837606397	0.0726123213808028	0.183243335418209	0.0777513798523275	0.0893549092051601	0.229712370068275	0.0388307744498515	0.0822628009844091
ENSG00000006625.18	-0.0912921015467808	-0.105662924960741	-0.282876525355235	-0.063803685723379	-0.465670728452638	-0.139828227711869	-0.159470905188679	-0.111845413550076	-0.472290431919236	-0.326520034095526	-0.32402928674495	-0.331472839905821	-0.307586855524096	-0.485600054893463	-0.460855339027291	-0.432568042535369	-0.480490908561915	-0.234940826377779	-0.175294917457819	-0.0795400282983565	-0.113524160333265	-0.431977714139784	-0.254361326032994	-0.359329996411653	-0.304303741575914	-0.326292510165601	-0.0865511235112391	-0.351051724967882	-0.295993505991474	-0.120480212795296	-0.130063672187441	-0.128804950694658	-0.260637254699788	-0.288706722985068	-0.214863259897012	-0.182779425771091	-0.0530824306710267	-0.0628420875194389	-0.136480096302644	-0.182110568537051	-0.300206812428524	-0.474955562870159	-0.218376298327057	-0.0982297730775697	-0.3208822430522	-0.195440305142496	-0.258929083185598	0.0190558429131533	-0.255477794482191	-0.185204905010077	-0.122981442572679	-0.290925435383256	-0.288770642191718	-0.188909002080514
ENSG00000006788.14	-0.0457811196473119	0.00994302277352048	-0.112869964305658	-0.0183703109329546	-0.0719192262576781	-0.0705298722295209	0.0258455021474055	0.162609536728383	-0.0404514178720403	-0.0860648276390473	-0.152746108227745	-0.0973523298793248	0.0159849748604138	-0.107541682281733	-0.0988636482324157	-0.0794267881841153	-0.0411285191645712	-0.000760201936227218	-0.0177245751770967	0.0609093650242528	0.0735298915760146	-0.093788249006352	-0.0318821794384022	-0.0813329942122767	-0.142525899048814	-0.083542274535092	-0.149093647908223	-0.0265156954773951	-0.0540589222108421	-0.0423778374317705	-0.0367980949831132	-0.104808436035477	-0.101663211168937	-0.046715208767675	-0.0495727296771392	0.000437945688930134	0.0337411280037309	-0.076082439918749	-0.0251734822341346	0.0307638478278073	-0.0518676427769477	-0.0253717842709899	-0.0288400378838363	-0.0980768487655124	-0.124119781218955	-0.0763801198238528	-0.0994616421844714	-0.0219281220914267	-0.131245459747355	-0.116200547236796	-0.0557892664215796	-0.0275664310534329	0.030022646901513	-0.0533762823511895
